id,name,parent_topic_id
1,Selbstverbesserung,
2,Seelische Krankheiten,
3,Dunya-Schmerz,
4,Tod,
5,Schwestern,
6,Pflichten,
7,Ahlulbayt (as.),
8,Propheten,
9,Monat Ramadan,
10,Monat Schaʿbān,
11,Ehe,
12,Gesellschaft,
13,Gottesverständnis,
14,Gebet,
15,Alltag,
16,Brüder,
17,Muharram,
18,Wichtige Persönlichkeiten,
19,Mustahabat,
20,Quran,
21,Kindererziehung,
22,Bittgebete,
23,Monat Rajab,
24,Self improvement,
25,Ashura-Muharram: Ganzer Majlis,
26,تطوير الذات,
27,الروحانية,
28,History,
29,Ahlulbayt (as),
30,Patience,
31,Prayer,
32,Day of Ghadeer,
33,Islamic Worldview Lecture Series,
34,Hereafter,
35,Shaytan,
36,Paradise,
37,Success,
38,الجنة,
39,محرم,
40,النجاح,
41,Rezitationen,
42,Recitations,
43,إِلْقَاءات,
44,Religious trauma,
45,Ashura-Muharram: whole Majlis,
