video_id,topic_id
58,1
59,2
60,2
61,3
61,1
62,1
63,1
64,1
65,1
66,4
66,1
67,1
68,1
69,5
69,6
70,7
70,8
71,9
73,2
74,2
75,2
76,10
78,1
79,7
79,8
79,11
80,7
80,8
81,7
82,7
83,7
83,1
84,7
85,1
85,12
86,1
87,1
88,1
88,13
89,1
89,13
90,1
90,12
91,7
91,12
92,14
93,15
93,1
93,3
94,15
94,1
95,11
95,1
95,3
96,7
97,11
97,1
98,7
98,8
98,14
99,7
99,8
99,1
100,15
100,1
100,3
101,15
101,1
101,3
102,15
102,1
103,15
103,1
104,15
104,1
105,15
105,1
107,15
107,1
107,3
108,15
108,1
108,16
108,12
110,1
111,1
112,17
112,7
113,15
114,1
115,7
116,7
117,7
118,15
118,1
119,15
119,1
119,6
122,9
123,7
123,1
124,15
124,1
125,15
125,1
128,5
128,12
128,1
129,17
129,18
130,17
130,18
135,17
135,18
136,7
137,17
137,18
138,7
139,14
139,19
140,14
140,1
141,20
141,1
142,7
142,8
142,14
142,1
143,14
143,1
144,7
144,8
144,21
144,1
145,7
145,1
146,22
146,1
147,7
147,8
147,1
148,7
149,23
150,7
150,5
151,1
152,9
152,1
153,24
154,25
161,25
162,25
163,25
164,25
165,25
166,25
167,25
168,25
169,25
170,24
171,24
172,26
173,26
174,24
175,24
176,27
177,24
177,17
178,24
178,28
178,17
179,24
179,29
179,17
180,30
180,24
180,17
181,24
181,17
182,24
182,17
183,24
183,17
184,17
185,24
185,31
185,17
186,24
186,17
187,24
187,17
188,32
188,29
189,24
190,24
190,33
191,24
191,34
191,33
192,24
192,33
193,33
194,33
195,33
195,35
196,33
197,33
198,33
199,33
200,24
201,24
201,36
202,24
203,17
204,24
204,37
205,24
205,37
206,24
206,37
207,24
207,37
208,24
209,24
210,24
211,24
212,24
212,37
213,24
213,37
214,24
215,24
216,24
217,24
218,24
219,24
220,24
221,24
222,24
223,26
224,26
224,38
225,26
226,39
227,26
227,40
228,26
228,40
229,26
229,40
230,26
230,40
231,26
232,26
233,26
234,26
235,26
235,40
236,26
236,40
237,26
238,26
239,26
240,26
241,26
242,26
243,26
244,26
245,26
246,41
247,42
248,43
249,42
250,41
251,43
252,41
253,42
254,43
255,41
256,42
257,43
258,42
259,41
260,43
261,41
262,42
263,43
264,41
265,42
266,43
267,44
267,17
268,17
269,45
270,45
271,45
