id,title,youtube_url,created_at,language_code,author_name,start_time,end_time
58,Warum schickt Allah (swt) uns keine Zeichen? ,https://www.youtube.com/watch?v=TVMhxpPDnb8$0,2026-05-18 05:28:04+00,de,Sheikh Mohammad El-Chaer,982,2255
59,Die Selbstbewunderung Teil 1,https://www.youtube.com/live/KyZKEWF2rFE?si=6TqVBJ8mfTmGu21a,2026-05-18 05:28:12+00,de,Sayyid Maher El Ali,,
60,Die Selbstbewunderung Teil II,https://www.youtube.com/watch?v=rX4-1Nahoh0$0,2026-05-18 05:28:14+00,de,Sayyid Maher El Ali,,
61,Prüfungen - Wie sollte ein Muslim damit umgehen?,https://www.youtube.com/watch?v=WlBw_2GeXjY$0,2026-05-18 04:40:17+00,de,Sayyid Maher El Ali,,
62,Die Wachsamkeit,https://www.youtube.com/watch?v=GuIueYGtT0A$0,2026-05-18 04:40:19+00,de,Sayyid Maher El Ali,,
63,Die Reue (at-tawbah),https://www.youtube.com/watch?v=BXlEB_4IO18$0,2026-05-18 04:40:22+00,de,Sayyid Maher El Ali,,
64,Die Selbstabrechnung (al-muhasaba),https://www.youtube.com/watch?v=T397VdgxV4A$0,2026-05-18 04:40:24+00,de,Sayyid Maher El Ali,,
65,Das Nachdenken (at-tafakur),https://www.youtube.com/watch?v=p4tghQcuyYU$0,2026-05-18 05:28:07+00,de,Sayyid Maher El Ali,,
66,Das Gedenken des Todes (dhikr ul-mawt),https://www.youtube.com/watch?v=GKJ0lWT_dMg$0,2026-05-18 04:40:29+00,de,Sayyid Maher El Ali,,
67,Der Wille und die Entschlossenheit (al-irada wal 'azm),https://www.youtube.com/watch?v=XJ_NVYzu6Jg$0,2026-05-18 04:40:32+00,de,Sayyid Maher El Ali,,
68,Die Prävention (al-wiqayah),https://www.youtube.com/watch?v=7NDext-rr6o$0,2026-05-18 04:40:35+00,de,Sayyid Maher El Ali,,
69,Die Aufklärungspflicht der Frau,https://www.youtube.com/watch?v=fIK5K9Y83CM$0,2026-05-18 04:40:37+00,de,Sayyid Maher El Ali,,
70,Von der Berufung des Propheten zur Würde des Menschen,https://www.youtube.com/watch?v=u3GXbygzCOc$0,2026-05-18 05:30:48+00,de,Sayyid Maher El Ali,,
71,Die spirituelle Nahrung des Monats Ramadan,https://www.youtube.com/watch?v=-98ZjIR7QR0$0,2026-05-18 04:40:42+00,de,Sayyid Maher El Ali,3652,5889
73,Der Neid,https://www.youtube.com/watch?v=SbbPRPLtYsY$0,2026-05-18 05:30:43+00,de,Sayyid Maher El Ali,,
74,Der Hochmut,https://www.youtube.com/watch?v=ARp4Nt7JIR8$0,2026-05-18 04:40:46+00,de,Sayyid Maher El Ali,,
75,Der Zorn,https://www.youtube.com/watch?v=H8yb9CczjSM$0,2026-05-18 05:29:05+00,de,Sayyid Maher El Ali,,
76,Die Besonderheit des Monats Schaʿbān,https://www.youtube.com/watch?v=BDpyGDk58zw$0,2026-05-18 04:40:51+00,de,Sayyid Maher El Ali,,
78,Verbesserung des Selbst - Überlieferung von Imam as-Sadiq (as),https://www.youtube.com/watch?v=REJTsimFOVA$0,2026-05-18 04:40:55+00,de,Sheikh Amir Nadji,,
79,Die Ehe von Prophet Mohammad (s.) & Sayyida Khadija (as.),https://www.youtube.com/watch?v=AUagAtIR_1E$0,2026-05-18 05:28:59+00,de,Sheikh Amir Nadji,702,
80,Beginn der Woche des Geburtstages des Propheten (s.),https://www.youtube.com/watch?v=g3ytBoYqo4o$0,2026-05-18 04:41:03+00,de,Sheikh Amir Nadji,641,3627
81,Martyrium vom Imam Ja'far as-Sadiq (as.),https://www.youtube.com/watch?v=kyXCiGjm3QA$0,2026-05-18 05:28:56+00,de,Sheikh Amir Nadji,876,3072
82,Martyrium von Imam Mohammad al-Jawad (as.),https://www.youtube.com/watch?v=dui9heYeSuU$0,2026-05-18 04:41:08+00,de,Sheikh Amir Nadji,1042,3168
83,Programm zum Abschied des Jahres,https://www.youtube.com/watch?v=7wI4PMdnXhQ$0,2026-05-18 05:29:01+00,de,Sheikh Amir Nadji,1249,
84,Die Berufung des Propheten (s.),https://www.youtube.com/watch?v=HEkElQ49RZ4$0,2026-05-18 04:41:14+00,de,Sheikh Amir Nadji,856,3121
85,Menschliche Werte im Islam,https://www.youtube.com/watch?v=jBHzSftwXaw$0,2026-05-18 04:41:16+00,de,Sheikh Mehdi Khalil,1006,3706
86,Sünden und ihre Auswirkungen,https://www.youtube.com/watch?v=nsCFRropPPM$0,2026-05-18 04:41:19+00,de,Sheikh Mehdi Khalil,881,3492
87,Einführung in den Monat Muharram,https://www.youtube.com/watch?v=LdbQxnmQMRk$0,2026-05-18 05:29:20+00,de,Sheikh Mehdi Khalil,1082,3024
88,Gottesverständnis und Rätsel Teil 1,https://www.youtube.com/watch?v=YoNmePrZUVo$0,2026-05-18 05:30:27+00,de,Sheikh Mehdi Khalil,1260,4169
89,Gottesverständnis und Rätsel Teil 2,https://www.youtube.com/watch?v=S9TYRxnTnKs$0,2026-05-18 05:30:30+00,de,Sheikh Mehdi Khalil,791,3616
90,Gesellschaftsleben im Islam,https://www.youtube.com/watch?v=OEGqT6cMdDg$0,2026-05-18 04:41:29+00,de,Sheikh Mehdi Khalil,967,3800
91,Der Reformgedanke in der Bewegung Imam al Hussains (as.) ,https://www.youtube.com/watch?v=PIYb8RLITnI$0,2026-05-18 04:41:34+00,de,Sheikh Mehdi Khalil,842,2965
92,Das Gebet - Die Himmelfahrt des Gläubigen,https://www.youtube.com/watch?v=HcsrEcL7UcQ$0,2026-05-18 05:28:27+00,de,Sheikh Mehdi Khalil,1183,3697
93,Zweifel - Bedeutung & Umgang,https://www.youtube.com/watch?v=xS-47_A0Law$0,2026-05-18 04:41:38+00,de,Sheikh Mohamed Tohmeh,,
94,Das schlechte Benehmen ,https://www.youtube.com/watch?v=ZwZSYYnCXH4$0,2026-05-18 05:30:34+00,de,Sheikh Mohamed Tohmeh,,
95,Glücklich in der Ehe - Wie geht das? ,https://www.youtube.com/watch?v=mYjVB0Z00yA$0,2026-05-18 04:41:42+00,de,Sheikh Mohamed Tohmeh,,
96,Lehren aus dem Leben von Imam Ridha (as.) ,https://www.youtube.com/watch?v=0UImdV7nIBk$0,2026-05-18 04:41:46+00,de,Sheikh Mohamed Tohmeh,,
97,Geduld in der Ehe,https://www.youtube.com/watch?v=ETugG7us29M$0,2026-05-18 04:41:48+00,de,Sheikh Mohamed Tohmeh,,
98,Das Gebet des Propheten (s.) - Die Säule der Religion,https://www.youtube.com/watch?v=eUferiaWrGQ$0,2026-05-18 04:41:54+00,de,Sheikh Mohamed Tohmeh,,
99,Die Botschaft des Propheten (s.) an uns Muslime,https://www.youtube.com/watch?v=xB_6NYxGWQw$0,2026-05-18 04:41:56+00,de,Sheikh Mohamed Tohmeh,,
100,Meine Gelüste und Ich - zwischen Selbstbeherrschung und Kapitulation,https://www.youtube.com/watch?v=u0vk0UfRzR8$0,2026-05-18 04:41:58+00,de,Sheikh Mohamed Tohmeh,,
101,Selbstlosigkeit,https://www.youtube.com/watch?v=8UEdcANoXI4$0,2026-05-18 04:42:01+00,de,Sheikh Mohamed Tohmeh,,
102,Die Liebe zu Allah (swt.),https://www.youtube.com/watch?v=kRK9mtBsdLw$0,2026-05-18 04:42:10+00,de,Sheikh Mohamed Tohmeh,,
103,Social Media & Influencer - Was geht und was nicht?,https://www.youtube.com/watch?v=Apmdz7HZQns$0,2026-05-18 05:28:31+00,de,Sheikh Mohamed Tohmeh,,
104,Warum wir optimistisch in die Zukunft blicken sollten,https://www.youtube.com/watch?v=wBEwXatE4ug$0,2026-05-18 04:42:16+00,de,Sheikh Mohamed Tohmeh,947,3177
105,"Meine Sünde und ich - Wie finde ich zurück zu dir, o Allah?",https://www.youtube.com/watch?v=7uzhlArLrMU$0,2026-05-18 04:42:19+00,de,Sheikh Mohamed Tohmeh,,
107,Reichtum & Armut,https://www.youtube.com/watch?v=-W-jqH-oXHk$0,2026-05-18 05:28:50+00,de,Sheikh Mohamed Tohmeh,,
108,Der muslimische Mann und seine Rolle in der Ummah,https://youtu.be/vpoST_2OQ0Y?si=ajVr7AaLWEKhd-0v,2026-05-18 04:42:34+00,de,Sheikh Mohamed Tohmeh,,
110,Die Umkehr zu Allah vor der Rückkehr zu Allah (swt.),https://www.youtube.com/live/IFPF6bWyFvQ?si=33ExiWQYXi6itOOj,2026-05-18 05:28:33+00,de,Sheikh Mohamed Tohmeh,1183,3803
111,Der Umgang mit Unwissenheit,https://www.youtube.com/watch?v=8zUlh6WRe4k$0,2026-05-18 04:42:39+00,de,Sheikh Mohamed Tohmeh,,
112,Geburtstag der Helden Karbalas,https://www.youtube.com/watch?v=cUePXrIjp9A$0,2026-05-18 05:28:48+00,de,Sheikh Mohamed Tohmeh,,
113,Das böse Auge,https://www.youtube.com/watch?v=HwqqGubVDc8$0,2026-05-18 04:42:45+00,de,Sheikh Mohamed Tohmeh,,
114,Die Grundlagen für positive Veränderung im Quran und in der Sunnah,https://www.youtube.com/watch?v=nSc5CEhBzT4$0,2026-05-18 04:42:47+00,de,Sheikh Mohamed Tohmeh,,
115,Die Erscheinung des Mahdi (aj.) Teil 1,https://www.youtube.com/watch?v=UXXeuQDWlkU$0,2026-05-18 04:42:49+00,de,Sheikh Mohamed Tohmeh,,
116,Die Erscheinung des Mahdi (aj.) Teil 2,https://www.youtube.com/watch?v=dR6HMDu69Vc$0,2026-05-18 04:42:51+00,de,Sheikh Mohamed Tohmeh,,
117,Das Testament von Imam Hassan al-Askari (as.),https://www.youtube.com/watch?v=T51uALrN6vM$0,2026-05-18 05:30:57+00,de,Sheikh Mohamed Tohmeh,,
118,Die üble Nachrede - Ghiba,https://youtu.be/87TOcDIJOzE?si=NkzyZYeJkyuUouWZ,2026-05-18 05:28:39+00,de,Sheikh Mohamed Tohmeh,,
119,Das Gute gebieten und das Schlechte verwehren - Eine vergessene Pflicht (kurze Tonstörung),https://www.youtube.com/watch?v=I9V4mGSE0Qs$0,2026-05-18 04:42:58+00,de,Sheikh Mohamed Tohmeh,1178,4453
